date,open,high,low,close
2024-11-03 21:00:00,31.1,31.15,30.65,30.76
2024-11-04 21:00:00,30.76,30.84,30.35,30.66
2024-11-05 21:00:00,30.37,30.72,30.36,30.67
2024-11-06 21:00:00,30.75,31.09,30.56,30.76
2024-11-07 21:00:00,31.06,31.47,30.79,31.35
2024-11-10 21:00:00,31.18,31.55,31.1,31.41
2024-11-11 21:00:00,31.5,32.15,31.48,31.99
2024-11-12 21:00:00,32.01,32.12,31.65,31.95
2024-11-13 21:00:00,31.99,32.34,31.93,32.29
2024-11-17 21:00:00,32.23,33.18,32.23,33.1
2024-11-18 21:00:00,33.01,33.18,32.62,32.75
2024-11-20 21:00:00,32.9,33.03,32.53,32.84
2024-11-21 21:00:00,33.54,34.51,33.33,34.15
2024-11-24 21:00:00,34.12,34.53,33.92,33.94
2024-11-25 21:00:00,34.1,34.23,33.84,33.9
2024-11-26 21:00:00,33.96,34.1,33.57,33.78
2024-11-27 21:00:00,33.62,34.05,33.25,33.43
2024-11-28 21:00:00,33.36,33.98,33.28,33.7
2024-12-01 21:00:00,33.7,34.13,33.59,33.92
2024-12-02 21:00:00,34.13,34.22,33.86,34.22
2024-12-03 21:00:00,34.22,34.53,33.77,34.0
2024-12-04 21:00:00,34.13,34.49,33.97,34.34
2024-12-05 21:00:00,34.34,34.39,33.75,33.81
2024-12-08 21:00:00,34.12,34.8,34.1,34.69
2024-12-09 21:00:00,34.91,35.03,34.75,34.82
2024-12-10 21:00:00,34.96,35.31,34.61,35.17
2024-12-11 21:00:00,34.88,35.03,34.34,34.54
2024-12-12 21:00:00,34.77,34.89,34.16,34.32
2024-12-15 21:00:00,34.4,34.46,34.08,34.18
2024-12-16 21:00:00,34.18,34.67,34.08,34.5
2024-12-17 21:00:00,34.48,34.59,33.61,33.61
2024-12-18 21:00:00,33.92,34.17,33.31,33.47
2024-12-19 21:00:00,33.47,33.64,33.07,33.19
2024-12-22 21:00:00,33.33,33.37,33.08,33.2
2024-12-25 21:00:00,33.2,33.54,33.17,33.33
2024-12-26 21:00:00,33.54,33.54,33.18,33.23
2024-12-29 21:00:00,33.34,33.89,33.33,33.72
2025-01-01 21:00:00,33.94,34.56,33.72,34.26
2025-01-02 21:00:00,34.36,34.51,33.84,33.9
2025-01-05 21:00:00,34.1,34.19,33.6,33.74
2025-01-06 21:00:00,34.06,34.71,33.82,34.46
2025-01-07 21:00:00,34.47,34.59,33.95,34.18
2025-01-08 21:00:00,34.2,34.45,34.2,34.33
2025-01-09 21:00:00,34.71,34.96,34.38,34.42
2025-01-12 21:00:00,34.76,34.97,34.45,34.54
2025-01-13 21:00:00,34.58,34.6,34.09,34.31
2025-01-14 21:00:00,34.41,34.77,34.29,34.75
2025-01-15 21:00:00,34.67,34.7,34.26,34.52
2025-01-16 21:00:00,34.49,34.85,34.34,34.66
2025-01-19 21:00:00,34.68,34.88,34.58,34.75
2025-01-20 21:00:00,34.57,34.8,34.22,34.76
2025-01-21 21:00:00,34.81,35.06,34.5,34.56
2025-01-22 21:00:00,34.59,34.86,34.2,34.32
2025-01-23 21:00:00,34.36,34.38,33.92,34.14
2025-01-26 21:00:00,34.08,34.76,33.98,34.64
2025-01-27 21:00:00,34.85,34.93,34.36,34.6
2025-01-28 21:00:00,34.66,34.78,34.25,34.38
2025-01-29 21:00:00,34.51,34.95,34.29,34.84
2025-01-30 21:00:00,34.84,35.75,34.71,35.12
2025-02-02 21:00:00,35.18,35.23,34.83,34.94
2025-02-03 21:00:00,34.76,34.8,34.31,34.6
2025-02-04 21:00:00,34.52,34.54,34.24,34.35
2025-02-05 21:00:00,34.33,34.59,34.2,34.28
2025-02-06 21:00:00,34.35,34.5,33.89,34.09
2025-02-09 21:00:00,34.3,34.5,34.22,34.32
2025-02-10 21:00:00,34.49,34.56,34.18,34.32
2025-02-11 21:00:00,34.15,34.24,33.65,33.81
2025-02-12 21:00:00,33.73,33.85,33.56,33.84
2025-02-13 21:00:00,33.95,35.02,33.92,34.89
2025-02-16 21:00:00,35.07,35.33,34.91,35.1
2025-02-17 21:00:00,35.15,35.82,35.14,35.74
2025-02-18 21:00:00,35.51,36.02,35.29,35.82
2025-02-19 21:00:00,35.8,35.94,35.7,35.87
2025-02-20 21:00:00,35.9,35.9,35.57,35.77
2025-02-23 21:00:00,35.87,35.88,35.22,35.52
2025-02-24 21:00:00,35.52,35.82,35.25,35.36
2025-02-25 21:00:00,35.64,35.64,35.18,35.36
2025-02-26 21:00:00,33.88,34.23,33.06,34.11
2025-02-27 21:00:00,34.0,34.06,33.37,33.48
2025-03-04 21:00:00,32.63,32.72,32.19,32.26
2025-03-05 21:00:00,32.44,32.72,31.71,31.92
2025-03-06 21:00:00,31.95,32.55,31.9,32.27
2025-03-09 21:00:00,32.22,32.26,31.68,32.26
2025-03-10 21:00:00,32.38,32.52,31.6,31.77
2025-03-11 21:00:00,31.83,32.05,31.64,31.77
2025-03-12 21:00:00,31.85,32.18,31.72,32.09
2025-03-13 21:00:00,32.24,33.32,32.03,33.08
2025-03-16 21:00:00,33.18,33.93,33.17,33.69
2025-03-17 21:00:00,33.72,33.93,33.46,33.72
2025-03-18 21:00:00,33.8,33.85,33.57,33.69
2025-03-19 21:00:00,33.69,33.99,33.32,33.77
2025-03-20 21:00:00,33.75,34.5,33.71,34.29
2025-03-23 21:00:00,34.2,34.42,34.01,34.24
2025-03-24 21:00:00,34.34,34.96,34.13,34.51
2025-03-25 21:00:00,34.62,35.06,34.62,34.84
2025-03-26 21:00:00,34.88,35.38,34.84,35.1
2025-03-27 21:00:00,35.08,35.3,34.56,34.88
2025-03-30 21:00:00,34.8,35.07,34.55,34.63
2025-03-31 21:00:00,34.76,35.38,34.66,34.76
2025-04-01 21:00:00,34.73,34.76,34.32,34.66
2025-04-02 21:00:00,33.68,33.82,33.18,33.54
2025-04-03 21:00:00,32.37,32.62,31.5,32.19
2025-04-06 21:00:00,31.61,32.2,30.85,30.92
2025-04-07 21:00:00,31.4,31.63,29.71,29.82
2025-04-08 21:00:00,29.17,31.29,28.92,31.03
2025-04-09 21:00:00,30.75,30.77,29.07,29.1
2025-04-10 21:00:00,29.35,30.1,28.68,29.68
2025-04-13 21:00:00,30.38,30.64,29.3,29.57
2025-04-14 21:00:00,29.57,29.7,28.87,28.89
2025-04-15 21:00:00,29.16,29.32,28.75,28.89
2025-04-16 21:00:00,29.27,29.75,29.07,29.44
2025-04-21 21:00:00,29.39,29.82,28.94,29.5
2025-04-22 21:00:00,29.92,30.33,29.1,29.17
2025-04-23 21:00:00,29.4,29.43,28.68,29.04
2025-04-24 21:00:00,28.95,29.32,28.82,29.12
2025-04-27 21:00:00,29.16,29.37,28.87,29.01
2025-04-28 21:00:00,28.91,29.4,28.77,29.16
2025-04-29 21:00:00,29.02,29.18,28.59,28.62
2025-05-01 21:00:00,28.82,29.4,28.6,29.4
2025-05-04 21:00:00,29.17,29.22,28.3,28.3
2025-05-05 21:00:00,28.73,29.0,28.59,28.77
2025-05-06 21:00:00,28.91,28.91,28.53,28.9
2025-05-07 21:00:00,29.19,29.61,29.06,29.3
2025-05-08 21:00:00,29.68,29.75,29.24,29.5
