date,open,high,low,close
2024-11-03 21:00:00,57.89,58.32,57.63,58.14
2024-11-04 21:00:00,58.4,58.55,57.48,57.63
2024-11-05 21:00:00,56.87,57.17,56.35,56.98
2024-11-06 21:00:00,57.53,59.36,57.52,58.96
2024-11-07 21:00:00,57.51,57.56,55.38,56.24
2024-11-10 21:00:00,55.43,55.54,54.41,54.41
2024-11-11 21:00:00,54.34,54.35,53.06,53.17
2024-11-12 21:00:00,53.17,53.55,52.98,53.03
2024-11-13 21:00:00,53.03,53.19,52.73,52.73
2024-11-17 21:00:00,52.96,53.6,52.85,53.39
2024-11-18 21:00:00,53.62,53.79,53.3,53.51
2024-11-20 21:00:00,53.34,53.62,53.07,53.45
2024-11-21 21:00:00,53.29,54.06,53.11,53.97
2024-11-24 21:00:00,53.97,54.32,53.92,53.96
2024-11-25 21:00:00,54.07,54.26,53.02,53.28
2024-11-26 21:00:00,53.68,54.19,53.43,53.93
2024-11-27 21:00:00,53.71,54.55,53.13,53.37
2024-11-28 21:00:00,54.04,54.93,53.94,54.53
2024-12-01 21:00:00,54.59,55.09,54.45,54.66
2024-12-02 21:00:00,55.01,55.07,54.24,54.24
2024-12-03 21:00:00,54.18,54.25,52.84,53.18
2024-12-04 21:00:00,53.3,53.62,52.76,53.62
2024-12-05 21:00:00,53.31,53.49,52.65,52.7
2024-12-08 21:00:00,54.27,55.84,54.15,55.5
2024-12-09 21:00:00,55.42,55.6,55.0,55.45
2024-12-10 21:00:00,55.2,55.28,54.22,54.58
2024-12-11 21:00:00,53.65,53.91,52.97,53.01
2024-12-12 21:00:00,52.79,53.01,52.06,52.21
2024-12-15 21:00:00,52.2,52.85,51.73,52.18
2024-12-16 21:00:00,52.23,52.72,52.02,52.45
2024-12-17 21:00:00,52.13,52.22,51.18,51.23
2024-12-18 21:00:00,51.43,51.57,50.1,50.26
2024-12-19 21:00:00,49.93,51.05,49.85,51.05
2024-12-22 21:00:00,51.1,51.62,50.85,51.27
2024-12-25 21:00:00,51.27,51.78,50.85,51.42
2024-12-26 21:00:00,51.16,51.48,50.9,51.16
2024-12-29 21:00:00,51.31,51.59,50.99,50.99
2025-01-01 21:00:00,51.14,51.5,50.69,50.71
2025-01-02 21:00:00,50.38,50.47,49.43,49.76
2025-01-05 21:00:00,49.99,50.28,49.05,49.13
2025-01-06 21:00:00,49.19,49.44,48.55,48.65
2025-01-07 21:00:00,48.63,48.87,48.07,48.18
2025-01-08 21:00:00,48.65,48.84,47.8,47.88
2025-01-09 21:00:00,48.17,48.89,47.88,48.15
2025-01-12 21:00:00,48.6,48.89,47.55,48.15
2025-01-13 21:00:00,48.56,49.01,48.26,48.46
2025-01-14 21:00:00,48.73,49.24,48.26,49.16
2025-01-15 21:00:00,48.87,49.79,48.6,49.23
2025-01-16 21:00:00,49.68,50.93,49.52,50.93
2025-01-19 21:00:00,50.68,50.93,50.25,50.74
2025-01-20 21:00:00,50.74,50.77,49.77,50.49
2025-01-21 21:00:00,50.73,50.74,49.0,49.22
2025-01-22 21:00:00,49.49,49.53,48.45,48.9
2025-01-23 21:00:00,49.16,49.72,49.16,49.57
2025-01-26 21:00:00,49.44,50.45,49.14,50.44
2025-01-27 21:00:00,50.09,50.27,49.11,49.21
2025-01-28 21:00:00,49.35,50.01,49.19,49.35
2025-01-29 21:00:00,49.82,51.97,49.8,51.44
2025-01-30 21:00:00,51.4,51.6,50.47,50.63
2025-02-02 21:00:00,50.22,50.73,49.85,50.67
2025-02-03 21:00:00,50.59,51.14,50.3,50.49
2025-02-04 21:00:00,50.39,50.9,50.34,50.76
2025-02-05 21:00:00,51.78,52.01,51.38,51.53
2025-02-06 21:00:00,51.69,52.14,51.0,51.25
2025-02-09 21:00:00,51.29,51.78,51.26,51.78
2025-02-10 21:00:00,51.32,51.59,50.84,51.56
2025-02-11 21:00:00,51.42,51.68,51.13,51.21
2025-02-12 21:00:00,51.27,51.41,50.59,51.28
2025-02-13 21:00:00,51.61,52.16,51.41,52.03
2025-02-16 21:00:00,52.01,52.27,51.67,51.75
2025-02-17 21:00:00,51.97,52.31,51.88,52.1
2025-02-18 21:00:00,51.69,52.09,51.15,52.05
2025-02-19 21:00:00,53.09,54.36,52.79,53.97
2025-02-20 21:00:00,54.12,54.36,53.8,54.36
2025-02-23 21:00:00,54.31,54.74,53.73,53.87
2025-02-24 21:00:00,53.56,53.69,53.17,53.34
2025-02-25 21:00:00,53.62,53.92,53.02,53.02
2025-02-26 21:00:00,52.76,53.27,52.35,52.62
2025-02-27 21:00:00,52.29,52.47,51.55,51.55
2025-03-04 21:00:00,52.48,52.55,51.77,51.96
2025-03-05 21:00:00,52.01,52.83,51.92,52.53
2025-03-06 21:00:00,52.32,53.6,51.92,53.3
2025-03-09 21:00:00,52.67,52.98,51.72,52.44
2025-03-10 21:00:00,52.52,53.14,51.87,52.87
2025-03-11 21:00:00,52.93,52.93,51.62,52.21
2025-03-12 21:00:00,52.33,53.57,52.15,52.93
2025-03-13 21:00:00,53.61,54.79,53.57,54.67
2025-03-16 21:00:00,54.67,55.59,54.52,55.46
2025-03-17 21:00:00,55.55,55.9,54.99,55.86
2025-03-18 21:00:00,55.7,55.89,55.21,55.77
2025-03-19 21:00:00,55.4,55.83,55.14,55.59
2025-03-20 21:00:00,55.31,55.8,55.19,55.8
2025-03-23 21:00:00,56.28,56.56,55.32,55.5
2025-03-24 21:00:00,55.67,56.09,55.47,55.69
2025-03-25 21:00:00,55.75,56.37,55.74,56.03
2025-03-26 21:00:00,56.33,56.77,55.95,56.48
2025-03-27 21:00:00,56.43,56.7,55.9,55.9
2025-03-30 21:00:00,55.09,55.38,54.42,55.07
2025-03-31 21:00:00,55.46,56.26,55.31,55.54
2025-04-01 21:00:00,55.56,55.65,54.97,55.29
2025-04-02 21:00:00,54.39,54.81,53.18,53.29
2025-04-03 21:00:00,51.69,51.98,50.11,51.16
2025-04-06 21:00:00,50.22,51.94,49.7,50.55
2025-04-07 21:00:00,50.84,51.29,47.61,47.78
2025-04-08 21:00:00,47.73,50.56,47.37,50.36
2025-04-09 21:00:00,50.6,51.71,49.98,51.26
2025-04-10 21:00:00,51.05,52.59,51.05,52.11
2025-04-13 21:00:00,52.83,53.3,52.63,52.79
2025-04-14 21:00:00,52.81,53.08,51.99,52.26
2025-04-15 21:00:00,51.98,52.1,50.91,51.05
2025-04-16 21:00:00,51.26,51.78,51.05,51.36
2025-04-21 21:00:00,51.63,52.73,51.24,52.27
2025-04-22 21:00:00,53.32,53.76,52.83,52.89
2025-04-23 21:00:00,52.88,54.07,52.75,53.72
2025-04-24 21:00:00,52.93,53.05,52.1,52.3
2025-04-27 21:00:00,52.35,52.62,52.09,52.48
2025-04-28 21:00:00,52.65,52.78,52.29,52.29
2025-04-29 21:00:00,51.09,51.72,50.71,51.34
2025-05-01 21:00:00,51.73,52.02,51.04,51.28
2025-05-04 21:00:00,51.38,51.55,51.21,51.43
2025-05-05 21:00:00,51.46,52.04,51.4,51.47
2025-05-06 21:00:00,52.01,52.01,51.14,51.38
2025-05-07 21:00:00,51.38,51.77,51.15,51.22
2025-05-08 21:00:00,51.47,51.55,51.0,51.43
2025-05-11 21:00:00,52.99,53.61,52.72,52.72
2025-05-12 21:00:00,52.92,53.83,52.57,53.58
2025-05-13 21:00:00,53.9,54.09,53.26,53.32
2025-05-14 21:00:00,53.42,54.05,53.26,53.85
2025-05-15 21:00:00,53.61,54.07,53.23,53.89
2025-05-18 21:00:00,53.42,53.9,53.29,53.75
2025-05-19 21:00:00,53.74,53.93,53.5,53.76
2025-05-20 21:00:00,53.56,53.71,52.87,53.07
2025-05-21 21:00:00,53.05,53.07,52.42,52.67
2025-05-22 21:00:00,52.44,52.87,52.05,52.76
2025-05-25 21:00:00,52.39,52.53,52.25,52.45
2025-05-26 21:00:00,52.44,52.65,52.08,52.29
