symbol,provider
ABEV3,metastock
AEDU3,metastock
ALOS3,metastock
ALPA4,metastock
AMER3,metastock
AMOB3,metastock
ARCE3,metastock
ARCZ6,metastock
ARZZ3,metastock
ASAI3,metastock
AURE3,metastock
AXIA3,metastock
AZUL4,metastock
AZZA3,metastock
B3SA3,metastock
BBAS3,metastock
BBDC4,metastock
BBSE3,metastock
BEEF3,metastock
BELG3,metastock
BHIA3,metastock
BIDI11,metastock
BISA3,metastock
BNCA3,metastock
BPAC11,metastock
BPAN4,metastock
BRAP4,metastock
BRAV3,metastock
BRDT3,metastock
BRFS3,metastock
BRKM5,metastock
BRML3,metastock
BRPR3,metastock
BRTP4,metastock
BVMF3,metastock
CASH3,metastock
CCPR3,metastock
CCRO3,metastock
CEAB3,metastock
CESP4,metastock
CGAS5,metastock
CIEL3,metastock
CLSC6,metastock
CMET4,metastock
CMIG4,metastock
CMIN3,metastock
COGN3,metastock
CPFE3,metastock
CPLE6,metastock
CRFB3,metastock
CRTP5,metastock
CRUZ3,metastock
CSAN3,metastock
CSMG3,metastock
CSNA3,metastock
CSTB4,metastock
CTAX4,metastock
CTIP3,metastock
CURY3,metastock
CVCB3,metastock
CXSE3,metastock
CYRE3,metastock
DASA3,metastock
DIRR3,metastock
DTEX3,metastock
DURA4,metastock
DXCO3,metastock
EBTP4,metastock
ECOD3,metastock
ECOR3,metastock
EGIE3,metastock
ELPL6,metastock
EMBJ3,metastock
EMBR3,metastock
ENBR3,metastock
ENEV3,metastock
ENGI11,metastock
EQTL3,metastock
ESTC3,metastock
EVEN3,metastock
EZTC3,metastock
FIBR3,metastock
FLRY3,metastock
GETT11,metastock
GFSA3,metastock
GGBR4,metastock
GNDI3,metastock
GOAU4,metastock
GOLL4,metastock
HAPV3,metastock
HGTX3,metastock
HYPE3,metastock
IGTA3,metastock
IGTI11,metastock
IRBR3,metastock
ISAE4,metastock
ITAU4,metastock
ITSA4,metastock
ITUB4,metastock
JBSS3,metastock
JHSF3,metastock
KLBN11,metastock
KROT3,metastock
LAME4,metastock
LCAM3,metastock
LIGH3,metastock
LIGT3,metastock
LLXL3,metastock
LREN3,metastock
LWSA3,metastock
MBRF3,metastock
MGLU3,metastock
MMXM3,metastock
MOTV3,metastock
MRFG3,metastock
MRVE3,metastock
MULT3,metastock
NETC4,metastock
NTCO3,metastock
OGXP3,metastock
OIBR3,metastock
PCAR4,metastock
PDGR3,metastock
PETR4,metastock
PETZ3,metastock
PLIM4,metastock
POMO4,metastock
POSI3,metastock
PRGA3,metastock
PRIO3,metastock
PSSA3,metastock
PTIP4,metastock
QUAL3,metastock
RADL3,metastock
RAIL3,metastock
RAIZ4,metastock
RDCD3,metastock
RDOR3,metastock
RECV3,metastock
RENT3,metastock
RRRP3,metastock
RSID3,metastock
SANB11,metastock
SAPR11,metastock
SBSP3,metastock
SDIA4,metastock
SLCE3,metastock
SMFT3,metastock
SMLS3,metastock
SMTO3,metastock
SOMA3,metastock
STBP3,metastock
SUBA3,metastock
SULA11,metastock
SUZB3,metastock
TAEE11,metastock
TAMM4,metastock
TBLE3,metastock
TCOC4,metastock
TCSL4,metastock
TIMS3,metastock
TLCP4,metastock
TLPP4,metastock
TMAR5,metastock
TMCP4,metastock
TNLP3,metastock
TOTS3,metastock
TRPL4,metastock
TSPP4,metastock
UBBR11,metastock
UGPA3,metastock
USIM5,metastock
VALE3,metastock
VAMO3,metastock
VBBR3,metastock
VCPA4,metastock
VIVA3,metastock
VIVO2,metastock
VIVT4,metastock
WEGE3,metastock
YDUQ3,metastock
